Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,propSurveyed(number),Comments
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-03-12 10:30,2015-03-12 10:30,2015-03-12 10:50,E3,211,"Anas (Nettion) gracilis Buller, 1869",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-20 14:50,2015-09-20 14:50,2015-09-20 15:15,E3,97,"Phalacrocorax (Phalacrocorax) sulcirostris (Brandt, 1837)",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-20 14:50,2015-09-20 14:50,2015-09-20 15:15,E3,326,"Todiramphus (Todiramphus) sanctus (Vigors & Horsfield, 1827)",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-20 14:50,2015-09-20 14:50,2015-09-20 15:15,E3,,NIL,Black box woodland,0,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-21 6:38,2015-09-21 6:38,2015-09-21 7:10,E3,188,"Egretta novaehollandiae (Latham, 1790)",Black box woodland,3,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-21 6:38,2015-09-21 6:38,2015-09-21 7:10,E3,228,"Haliastur sphenurus (Vieillot, 1818)",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-11-26 16:00,2015-11-26 16:00,2015-11-26 16:20,E3,,NIL,Black box woodland,0,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-11-27 7:00,2015-11-27 7:00,2015-11-27 7:20,E3,,NIL,Black box woodland,0,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,96,"Phalacrocorax (Phalacrocorax) carbo (Linnaeus, 1758)",Black box woodland,6,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,106,"Pelecanus conspicillatus Temminck, 1824",Black box woodland,7,FALSE,0.32,
