source_id,program,site_name,latitude,longitude,survey_date,year,month,water_year,survey_type,scientific_name,common_name,functional_group,species_code,abundance,nest_count,brood_count,prop_surveyed,percent_full,breeding_evidence,veg_community,mdb_scope
S4,EAWS,Teridgerie Creek Waterhole,-30.57139,148.4233,1997-01-01,1997,,1998,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.4,40.0,False,,True
S4,EAWS,,-30.505,147.9494,2007-01-01,2007,,2008,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,,10.0,False,,True
S4,EAWS,,-30.4695,148.24,2010-01-01,2010,,2011,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,0.95,95.0,False,,True
S4,EAWS,Keewong W,-30.58083,147.8603,1988-01-01,1988,,1989,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.3333333333333333,33.33333333,False,,True
S4,EAWS,,-30.5,147.8333333,1992-01-01,1992,,1993,aerial,Anas superciliosa,Pacific black duck,Du,BDU,1.0,0.0,0.0,0.700000003,70.0,False,,True
S4,EAWS,Norwood Tank,-30.46944,148.4583,1992-01-01,1992,,1993,aerial,Anas superciliosa,Pacific black duck,Du,BDU,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,1992-01-01,1992,,1993,aerial,Anas superciliosa,Pacific black duck,Du,BDU,1.0,0.0,0.0,0.6,60.0,False,,True
S4,EAWS,Macquarie River,-32.42111,148.7519,1984-01-01,1984,,1985,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,,,False,,True
S4,EAWS,,-30.45683333,148.2975,2009-01-01,2009,,2010,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,,60.0,False,,True
S4,EAWS,,-30.6,147.4833333,1991-01-01,1991,,1992,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.399999999,40.0,False,,True
S4,EAWS,,-30.48167,147.6617,1996-01-01,1996,,1997,aerial,Larus novaehollandiae,Silver gull,Pi,SGU,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Nedgera Creek Lake,-30.49444,147.9845,1996-01-01,1996,,1997,aerial,Larus novaehollandiae,Silver gull,Pi,SGU,1.0,0.0,0.0,0.7999999996666667,80.0,False,,True
S4,EAWS,Nedgera Creek L,-30.49444,147.9845,2013-01-01,2013,,2014,aerial,Chenonetta jubata,Australian maned duck,He,WDU,1.0,0.0,0.0,0.3,30.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,1992-01-01,1992,,1993,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.6,60.0,False,,True
S4,EAWS,Macquarie River,-32.42111,148.7519,1992-01-01,1992,,1993,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.6000000254810192,60.00000254,False,,True
S4,EAWS,,-30.57556,147.2166667,1992-01-01,1992,,1993,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,0.299999997,30.0,False,,True
S4,EAWS,,-30.56667,148.0,1990-01-01,1990,,1991,aerial,Anas superciliosa,Pacific black duck,Du,BDU,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Keewong W,-30.58083,147.8603,1994-01-01,1994,,1995,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,,,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,2016-01-01,2016,,2017,aerial,Chenonetta jubata,Australian maned duck,He,WDU,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1996-01-01,1996,,1997,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,0.6000000000000001,60.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.45139,147.6144,1999-01-01,1999,,2000,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.46,147.6133,1998-01-01,1998,,1999,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.45833,147.6467,1998-01-01,1998,,1999,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,1.0,0.0,0.9,90.0,True,,True
S4,EAWS,Ben Avon Tank N,-30.56111,147.1483,2017-01-01,2017,,2018,aerial,Chenonetta jubata,Australian maned duck,He,WDU,1.0,0.0,0.0,,100.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,2000-01-01,2000,,2001,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,0.8999999999999999,90.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.46056,147.6144,2001-01-01,2001,,2002,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.42028,147.0311,1999-01-01,1999,,2000,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.6000000039999999,60.0,False,,True
S4,EAWS,,-30.57556,147.25,1988-01-01,1988,,1989,aerial,Larus novaehollandiae,Silver gull,Pi,SGU,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.51861,148.1728,2001-01-01,2001,,2002,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,0.399999999,40.0,False,,True
S4,EAWS,Killarney Tank,-30.57417,147.4247,1983-01-01,1983,,1984,aerial,Larus novaehollandiae,Silver gull,Pi,SGU,1.0,0.0,0.0,,,False,,True
S4,EAWS,Mowima Creek Swamp N,-30.44361,148.1142,1983-01-01,1983,,1984,aerial,Biziura lobata,Musk duck,Du,MDU,1.0,0.0,0.0,,,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,2008-01-01,2008,,2009,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.8,80.0,False,,True
S4,EAWS,,-30.42028,147.0311,1999-01-01,1999,,2000,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,0.6000000039999999,60.0,False,,True
S4,EAWS,,-30.63167,147.2367,1998-01-01,1998,,1999,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,0.6,60.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.46056,147.6144,2013-01-01,2013,,2014,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.95,95.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.45139,147.6144,2012-01-01,2012,,2013,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,1.0,100.0,False,,True
