cluster_id,region,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,total_abundance,n_points,n_species,n_years,extent_km,urban_fraction_pct,n_sources,sources,predicted_suitability,suitability_tier
149,Lachlan Disconnected,-32.38699959684822,146.23728081499522,False,False,Candidate,23.0,5,1,3,10.11,0.0,1,S4,0.1298124636441156,Low
75,Lachlan Disconnected,-34.387499821758894,149.72732292153563,False,False,Candidate,22.0,3,2,1,3.2,0.0,1,S4,0.1736828862174508,Moderate
16,Southern Basin,-36.50622526824205,143.70167127763273,False,False,Candidate,21.0,4,3,2,9.09,0.177311849758764,1,S4,0.17028600109305778,Moderate
261,Northern Basin,-26.53822485515291,145.42911227992815,False,False,Candidate,20.0,3,2,1,6.46,0.0,1,S4,0.09080762277238932,Low
138,Lachlan Disconnected,-32.544448278363674,146.6888918882428,False,False,Candidate,19.0,3,3,1,6.37,0.0,1,S4,0.11035979678475473,Low
266,Northern Basin,-26.49148580170649,145.3355336697181,False,False,Candidate,19.0,6,1,2,8.86,0.0,1,S4,0.11421772512452778,Low
237,Northern Basin,-28.48907193585345,144.60862184229092,False,False,Candidate,18.0,4,2,7,2.51,0.0,1,S4,0.08890324826948967,Low
136,Lachlan Disconnected,-32.54074073414157,146.75740691903286,False,False,Candidate,16.0,4,2,3,7.56,0.0,1,S4,0.11367999597231405,Low
220,Northern Basin,-28.53722235867652,147.76195481179684,False,False,Candidate,16.0,15,3,7,30.21,0.0030139990112854,1,S4,0.15932994143314966,Low
8,Southern Basin,-36.58990741530415,146.17667627128952,False,False,Candidate,16.0,3,3,1,4.2,0.0204599394385792,1,S4,0.18668285295465858,Moderate
228,Northern Basin,-28.494712037563684,144.72364874269624,False,False,Candidate,14.0,6,2,9,10.7,0.0,1,S4,0.042675772687524476,Low
20,Wimmera Disconnected,-36.48666918312899,142.61212388414046,False,False,Candidate,12.0,6,4,2,10.85,0.6055875052064208,1,S4,0.19205630736175192,Moderate
142,Southern Basin,-32.47629871995172,142.82426305290198,False,False,Candidate,12.0,3,2,8,5.83,0.0,1,S4,0.14273056586372687,Low
240,Northern Basin,-28.46899868133785,147.1921116032438,False,False,Candidate,11.0,3,3,1,4.09,0.0,1,S4,0.10184453979923529,Low
106,Lachlan Disconnected,-33.59067592074627,147.15421201195582,False,False,Candidate,11.0,4,1,1,6.91,0.0251839744523538,1,S4,0.1686260774003328,Low
268,Northern Basin,-26.44865078916653,146.97951311196493,False,False,Candidate,10.0,6,3,5,9.39,0.0,1,S4,0.14229050373352925,Low
73,Wimmera Disconnected,-34.462960823358806,141.492044698323,False,False,Candidate,9.0,3,3,1,1.23,0.0,1,S4,0.051614412494748185,Low
22,Southern Basin,-36.45481433328731,143.91333270827604,False,False,Candidate,7.0,4,3,1,3.78,0.032687199735312,1,S4,0.17838614666037222,Moderate
181,Northern Basin,-30.49991983179012,149.0329680581784,False,False,Candidate,5.0,4,2,2,9.98,0.0,1,S4,0.17751162901289014,Moderate
256,Northern Basin,-26.56079736323859,145.16204138385993,False,False,Candidate,4.0,3,1,6,4.89,0.0,1,S4,0.07934135981342094,Low
253,Northern Basin,-26.61722297696725,147.65333343284834,False,False,Candidate,4.0,3,1,1,2.1,0.0,1,S4,0.1641296015728406,Low
143,Southern Basin,-32.446913294200066,143.07762361013428,False,False,Candidate,4.0,4,1,8,9.06,0.0,1,S4,0.1771399264856256,Moderate
139,Southern Basin,-32.527777925298,144.55554841022817,False,False,Candidate,4.0,3,1,1,7.85,0.0,1,S4,0.08044893887243015,Low
187,Northern Basin,-30.419610292037373,146.28740184421903,False,False,Candidate,3.0,4,1,4,5.58,0.0,1,S4,0.09218267381913384,Low
264,Northern Basin,-26.499613646866116,145.57084318048712,False,False,Candidate,2.0,3,1,1,4.96,0.0,1,S4,0.12167192974923643,Low
225,Northern Basin,-28.564944945611845,148.30627797773198,False,False,Candidate,2.0,3,1,1,1.09,0.0,1,S4,0.16747165874955267,Low
232,Northern Basin,-28.499555827291697,144.10088918265822,False,False,Candidate,2.0,4,1,1,4.55,0.0,1,S4,0.035421970283438894,Low
101,Lachlan Disconnected,-33.79203704832239,147.036668305599,False,False,Candidate,1.0,3,1,1,3.09,0.0,1,S4,0.1721533781982356,Moderate
270,Northern Basin,-26.48648227755973,146.168999777574,False,False,Candidate,0.0,3,0,1,5.85,0.0,1,S4,0.13490011127070164,Low
224,Northern Basin,-28.558335070584043,148.43888904501134,False,False,Candidate,0.0,3,0,1,5.61,0.0,1,S4,0.15837596143637186,Low
59,Lachlan Disconnected,-34.47670435165766,143.8484720211485,True,True,Priority,2933264.0,515,57,35,97.73,0.0711777555473092,2,"S1,S2,S3,S4",0.19219086860582574,Moderate
61,Lachlan Disconnected,-34.486044010750184,147.20588876793917,True,True,Priority,301377.0,1197,43,38,309.83,0.4304583613291874,2,"S1,S3,S4",0.17446675307615112,Moderate
204,Northern Basin,-29.32042126334943,149.31487788855142,True,True,Priority,180029.0,90,70,11,39.4,0.0310284548516852,2,"S1,S3,S4",0.20928805260778338,High
206,Northern Basin,-29.323399031049497,149.53442637186225,True,True,Priority,18637.0,9,54,11,6.33,0.0,2,"S1,S3,S4",0.20003340917776202,Moderate
209,Northern Basin,-29.235615550597743,149.49812048741865,True,True,Priority,13611.0,14,38,10,9.79,0.0349740153842004,2,"S1,S3,S4",0.20873021876880518,High
196,Northern Basin,-29.569205138333523,149.2713657507307,True,True,Priority,4474.0,19,43,10,13.1,0.0414601911279095,2,"S1,S3,S4",0.21036434627680003,High
203,Northern Basin,-29.41618333374633,149.55488375978487,True,False,Priority,3560.0,11,24,11,8.68,0.0719491677346471,2,"S1,S3,S4",0.20368930994700676,High
199,Northern Basin,-29.55693449632413,149.6423110422227,True,True,Priority,1323.0,10,38,11,11.89,0.3145920962058247,2,"S1,S3,S4",0.19555238610705014,Moderate
200,Northern Basin,-29.567642880871336,149.40833253394237,True,True,Priority,174.0,4,14,10,0.47,0.0,2,"S1,S3,S4",0.2105211923828057,High
