cluster_id,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,lat_min,lat_max,lon_min,lon_max,extent_km,habitat_tier
110,-33.4188634,141.88247800000002,5,2,"S3,S4",True,12902.0,30,6,False,-33.42528,-33.4152,141.87869,141.8856,1.29,Priority
215,-28.527727581764704,145.08862882352943,102,1,S4,False,12890.0,25,17,True,-28.635,-28.41288333,144.9166667,145.2633333,41.84,Breeding confirmed
115,-33.253732222222226,146.4455888888889,9,2,"S3,S4",True,12756.0,35,8,True,-33.30305,-33.21722,146.4267,146.4642,10.14,Priority
36,-35.994076666666665,146.0554,3,2,"S3,S4",True,12654.0,28,9,True,-36.005,-35.98167,146.0347,146.0884,5.47,Priority
245,-28.433014443333334,150.82601113333334,3,1,S4,False,11128.0,12,9,False,-28.43861,-28.42183333,150.8196667,150.8386667,2.63,Candidate
35,-36.051306333333336,141.90585233333334,3,1,S3,False,10256.0,29,4,True,-36.0523,-36.0508,141.9044,141.9066,0.26,Breeding confirmed
144,-32.42925666666667,148.72285553333333,3,1,S4,False,10199.0,23,35,False,-32.43333,-32.42111,148.6833333,148.7519,6.57,Candidate
99,-33.91678714285714,144.24535714285713,7,2,"S3,S4",True,8140.0,32,5,True,-33.92722,-33.90278,144.2203,144.2711,5.41,Priority
56,-34.878276875,139.497557,8,2,"S3,S4",True,7934.0,31,7,False,-34.90944,-34.86806,139.3881,139.5747,17.6,Priority
90,-34.11912538461539,141.39743846153846,13,2,"S3,S4",True,7918.0,25,10,False,-34.14528,-34.09167,141.3544,141.4647,11.75,Priority
102,-33.76037909090909,144.74388181818182,11,2,"S3,S4",True,7699.0,24,5,False,-33.80083,-33.71806,144.6928,144.7889,12.77,Priority
93,-34.08600625,141.24779375,16,2,"S3,S4",True,7695.0,28,11,False,-34.11833,-34.05333,141.1342,141.3036,17.16,Priority
109,-33.4695466,141.7380554,5,2,"S3,S4",True,6633.0,20,8,True,-33.4728,-33.4652,141.7347,141.7405,1.0,Priority
