cluster_id,region,year,NDVI,NDWI,EVI,habitat_score,n_images,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,urban_fraction_pct,n_points,n_species,n_years,total_abundance,extent_km
189,Northern Basin,2020,0.3394710972862736,-0.4864362286834644,0.19582635006677648,-0.15607329829556918,6560,-30.150203968225355,145.42527429190957,,,,0.0,8,47,10,,10.87
198,Northern Basin,2020,0.3359544640701387,-0.43221939682025345,0.17600090966670454,-0.12494985246409657,6560,-29.5774101223222,148.97451863610823,,,,0.0,5,32,2,,3.47
66,Southern Basin,2020,0.29265114116543683,-0.4179945599771324,0.17189065298143907,-0.1337362795201047,6560,-34.48502693989819,145.22717985155194,,,,0.24995276215823417,254,45,25,,82.27
207,Northern Basin,2020,0.20165895380003535,-0.34327958943206455,0.1286774465484481,-0.12530417213922457,6560,-29.315646600911947,149.2588731365815,,,,0.0,3,34,7,,3.73
53,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2020,-0.42610736708482355,0.5540816281955965,-0.11018520736067605,0.16200603008342843,6560,-35.44365464149718,139.15951522420974,,,,0.0,6,56,9,,10.78
157,Northern Basin,2020,0.4079969057366873,-0.49143116219230953,0.24788606603651822,-0.1316599350207108,6560,-30.868537256536122,147.60946168868392,,,,0.0,3,34,3,,4.21
92,Wimmera Disconnected,2020,0.22176109910698075,-0.2974696563370723,0.1588602196680274,-0.08977735415945105,6560,-34.11892216028266,141.15745487500297,,,,0.0,4,42,4,,4.39
41,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2020,-0.5197954645651909,0.6838773668870417,-0.07100524439536815,0.20240823430614868,6560,-35.9099062587872,139.41209846711646,,,,0.0,3,31,2,,0.33
31,Southern Basin,2020,0.40595624742113184,-0.42417291366093285,0.21209017160319835,-0.09212124922810694,6560,-36.27981416577073,139.72859988365445,,,,0.650954390120106,3,18,2,,2.54
35,Wimmera Disconnected,2020,0.07755690651095432,-0.14366429946992706,0.06741893907558202,-0.05517581707757451,6560,-36.05130735373462,141.90585228001228,,,,0.0,3,29,4,,0.26
29,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2020,0.21151258371333487,-0.24310536603610758,0.1286414141942945,-0.06125818613633059,6560,-36.34990973850532,139.754266240367,,,,0.008285082205885272,3,30,29,,4.84
211,Northern Basin,2020,-0.04152270457467574,-0.07819417496234965,0.035645721552732594,-0.06352558680728008,6560,-28.988890958657397,144.83120113976025,,,,0.0,3,26,1,,2.0
114,Southern Basin,2020,0.08071100689897655,-0.17126334051468925,0.07814454822865916,-0.07047360154922291,6560,-33.30325602366254,141.99908952532817,,,,0.0,8,19,4,,1.71
17,Southern Basin,2020,0.7567097268952919,-0.6892896625732179,0.540523863751185,-0.1108899067858139,6560,-36.50940885626763,147.069146542815,,,,1.7785570735964162,4,13,1,,3.19
23,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2020,0.08069789390275418,-0.10817596150844198,-0.01342118775848772,-0.03262641934396351,6560,-36.45909977101012,139.80078860312526,,,,0.0,4,23,35,,7.43
6,Wimmera Disconnected,2020,0.22583545077663156,-0.38204986071410524,0.1370229543550751,-0.1388957361178105,6560,-36.49763924998229,143.06477541915888,,,,0.4031444916015211,127,36,28,,59.99
169,Northern Basin,2020,0.38077098590088787,-0.4685833249083409,0.2274882098107036,-0.12884160058464939,6560,-30.480184655715306,148.14947113841924,,,,0.024840171289737978,216,29,28,,119.18
250,Northern Basin,2020,0.2589358147303037,-0.3978610144140841,0.14306301914586195,-0.13514228275632897,6560,-26.53955210676799,148.52796566562358,,,,0.27685697363622996,961,29,30,,301.33
219,Northern Basin,2020,0.20300853475527755,-0.3513556442356274,0.11407155408941341,-0.12960997263926538,6560,-28.538944676653117,148.84670984149105,,,,0.07783320374279186,37,31,20,,34.79
21,Southern Basin,2020,0.3358071970892487,-0.4486932519224501,0.20441362528754722,-0.13489307231777053,6560,-36.4294295499165,144.18884846816303,,,,0.22011320470908974,61,25,37,,36.29
164,Northern Basin,2020,0.39676682664375496,-0.4839780158329108,0.22274223559358308,-0.13168007884224445,6560,-30.50772286777716,150.0031058273611,,,,0.18486997057504206,142,23,33,,43.58
127,Lachlan Disconnected,2020,0.39965491884703175,-0.5338181222860917,0.23282233989623188,-0.1604289058328423,6560,-32.4639723490915,147.3709106332526,,,,0.07328045415817956,515,28,18,,216.96
243,Northern Basin,2020,0.19923837878951886,-0.430156162840619,0.11804396144333272,-0.17839834618856387,6560,-28.406338003405992,146.69024787090729,,,,9.254517703271452E-4,55,25,14,,36.53
12,Wimmera Disconnected,2020,0.2503220370407613,-0.37268997992200603,0.15008001670464832,-0.12348517313689909,6560,-36.4203150616171,141.90758520525958,,,,1.0348897780963147,67,20,24,,38.86
247,Northern Basin,2020,0.27191717289238476,-0.38212287581576976,0.1585963576429615,-0.12050685633250793,6560,-28.390045434756978,148.31380102940943,,,,0.019113021623339454,19,20,27,,21.12
25,Southern Basin,2020,0.6940189543168903,-0.6422921811808856,0.5001712636478732,-0.10776772698177522,6560,-36.43833531681675,146.44396348626012,,,,1.116642383757333,7,25,27,,12.17
215,Northern Basin,2020,0.23408087936777006,-0.5009170837687864,0.12802539578866634,-0.2069178985141638,6560,-28.535008275789483,145.0776735169304,,,,4.7471345556814693E-4,102,25,17,,41.84
10,Southern Basin,2020,0.6898161687243195,-0.6530404166876801,0.45336397791470096,-0.11589778252288024,6560,-36.54331443642372,146.6094899348219,,,,0.7094708742951525,43,21,18,,56.37
231,Northern Basin,2020,0.22747425256398918,-0.37853272492082884,0.12618858943484298,-0.13612993392690162,6560,-28.47128248665361,148.83077921382423,,,,0.2986894798311825,13,19,25,,14.23
242,Northern Basin,2020,0.20572580272576885,-0.3190518976563149,0.11873520072213545,-0.1091408175034814,6560,-28.41961942240718,150.2157628475134,,,,0.02448679593837623,5,17,7,,10.28
165,Northern Basin,2020,0.5169305017199675,-0.5550141810178975,0.29059407101804163,-0.12623630792275145,6560,-30.50541708578207,151.24388460919099,,,,0.1183004452218209,106,16,10,,65.05
226,Northern Basin,2020,0.18081549031543975,-0.4786522673438242,0.09630541522802206,-0.2148651642801186,6560,-28.53051769574989,145.4382457860743,,,,0.0028118348640811136,22,16,18,,20.73
24,Southern Basin,2020,0.36030513220354804,-0.47797112455588653,0.17608592899586517,-0.1426606218521127,6560,-36.404969209624504,149.13795565774876,,,,0.05578708771287865,23,14,12,,21.88
69,Lachlan Disconnected,2020,0.7198087385704761,-0.6735256987599034,0.5294232238613394,-0.11619192382775156,6560,-34.46168657057093,149.29021031916128,,,,0.23639411570320515,160,12,12,,55.54
26,Wimmera Disconnected,2020,0.22109717842547286,-0.3623059344903449,0.1341823011726762,-0.1289446893240178,6560,-36.40354127564604,141.56530145153067,,,,0.3013384621401199,11,19,23,,15.49
186,Northern Basin,2020,0.41221024509616466,-0.49377484944989836,0.23297556808984557,-0.13138081163147314,6560,-30.40250567807555,149.5884093135249,,,,0.1614855587110129,63,11,26,,42.31
