cluster_id,region,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,extent_km,habitat_tier,urban_fraction_pct,is_urban
189,Northern Basin,,,8,1,S1,,,47,10,,10.87,,0.0,0
198,Northern Basin,,,5,1,"S1,S3,S4",,,32,2,,3.47,,0.0,0
66,Southern Basin,,,254,1,"S1,S4",,,45,25,,82.27,,0.24995276215823417,0
207,Northern Basin,,,3,1,"S1,S4",,,34,7,,3.73,,0.0,0
53,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,6,1,S3,,,56,9,,10.78,,0.0,0
157,Northern Basin,,,3,1,S3,,,34,3,,4.21,,0.0,0
92,Wimmera Disconnected,,,4,1,S3,,,42,4,,4.39,,0.0,0
41,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,3,1,S3,,,31,2,,0.33,,0.0,0
31,Southern Basin,,,3,1,S3,,,18,2,,2.54,,0.650954390120106,0
35,Wimmera Disconnected,,,3,1,S3,,,29,4,,0.26,,0.0,0
29,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,3,1,"S3,S4",,,30,29,,4.84,,0.008285082205885272,0
211,Northern Basin,,,3,1,"S3,S4",,,26,1,,2.0,,0.0,0
114,Southern Basin,,,8,1,"S3,S4",,,19,4,,1.71,,0.0,0
17,Southern Basin,,,4,1,"S3,S4",,,13,1,,3.19,,1.7785570735964162,0
23,"Coorong, Lower Lakes and Murray Mouth Ramsar site",,,4,1,S4,,,23,35,,7.43,,0.0,0
6,Wimmera Disconnected,,,127,1,S4,,,36,28,,59.99,,0.4031444916015211,0
169,Northern Basin,,,216,1,S4,,,29,28,,119.18,,0.024840171289737978,0
250,Northern Basin,,,961,1,S4,,,29,30,,301.33,,0.27685697363622996,0
219,Northern Basin,,,37,1,S4,,,31,20,,34.79,,0.07783320374279186,0
21,Southern Basin,,,61,1,S4,,,25,37,,36.29,,0.22011320470908974,0
164,Northern Basin,,,142,1,S4,,,23,33,,43.58,,0.18486997057504206,0
127,Lachlan Disconnected,,,515,1,S4,,,28,18,,216.96,,0.07328045415817956,0
243,Northern Basin,,,55,1,S4,,,25,14,,36.53,,9.254517703271452E-4,0
12,Wimmera Disconnected,,,67,1,S4,,,20,24,,38.86,,1.0348897780963147,0
247,Northern Basin,,,19,1,S4,,,20,27,,21.12,,0.019113021623339454,0
25,Southern Basin,,,7,1,S4,,,25,27,,12.17,,1.116642383757333,0
215,Northern Basin,,,102,1,S4,,,25,17,,41.84,,4.7471345556814693E-4,0
10,Southern Basin,,,43,1,S4,,,21,18,,56.37,,0.7094708742951525,0
231,Northern Basin,,,13,1,S4,,,19,25,,14.23,,0.2986894798311825,0
242,Northern Basin,,,5,1,S4,,,17,7,,10.28,,0.02448679593837623,0
165,Northern Basin,,,106,1,S4,,,16,10,,65.05,,0.1183004452218209,0
226,Northern Basin,,,22,1,S4,,,16,18,,20.73,,0.0028118348640811136,0
