cluster_id,region,year,NDVI,NDWI,EVI,habitat_score,n_images,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,urban_fraction_pct,n_points,n_species,n_years,total_abundance,extent_km
189,Northern Basin,2018,0.24994714354533548,-0.4307031525858711,0.15617675623663055,-0.15844303413338848,3023,-30.150203968225355,145.42527429190957,,,,0.0,8,47,10,,10.87
198,Northern Basin,2018,0.20818052474964,-0.3061514411015233,0.11418487099202375,-0.10041865476105796,3023,-29.5774101223222,148.97451863610823,,,,0.0,5,32,2,,3.47
66,Southern Basin,2018,0.23237339222714007,-0.3707810100908464,0.14128605619240006,-0.1295192491636518,3023,-34.48502693989819,145.22717985155194,,,,0.24995276215823417,254,45,25,,82.27
207,Northern Basin,2018,0.15034122725331478,-0.27923141017066866,0.10208449358532937,-0.10740235520107527,3023,-29.315646600911947,149.2588731365815,,,,0.0,3,34,7,,3.73
53,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2018,-0.49166093011296663,0.6527030114213902,-0.08564278734874767,0.19495743480764743,3023,-35.44365464149718,139.15951522420974,,,,0.0,6,56,9,,10.78
157,Northern Basin,2018,0.30687411757540145,-0.42519291003873577,0.18504518126852723,-0.13236609899308086,3023,-30.868537256536122,147.60946168868392,,,,0.0,3,34,3,,4.21
92,Wimmera Disconnected,2018,0.21994934671502847,-0.2984010162672186,0.14611984803031322,-0.09106087107431976,3023,-34.11892216028266,141.15745487500297,,,,0.0,4,42,4,,4.39
41,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2018,-0.33133875201503843,0.47491607520450746,-0.057479598983927536,0.15241414431668912,3023,-35.9099062587872,139.41209846711646,,,,0.0,3,31,2,,0.33
31,Southern Basin,2018,0.33576266064113,-0.4056430830333388,0.20938184390586598,-0.10908078556355127,3023,-36.27981416577073,139.72859988365445,,,,0.650954390120106,3,18,2,,2.54
35,Wimmera Disconnected,2018,0.072117132337197,-0.1356785232606141,0.05375916478221846,-0.052560261021489654,3023,-36.05130735373462,141.90585228001228,,,,0.0,3,29,4,,0.26
29,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2018,0.219270959771489,-0.28793497043927885,0.16453426005712637,-0.08505259835497171,3023,-36.34990973850532,139.754266240367,,,,0.008285082205885272,3,30,29,,4.84
211,Northern Basin,2018,0.09938031799633597,-0.30780163555058576,0.06550697577137159,-0.14492885413181708,3023,-28.988890958657397,144.83120113976025,,,,0.0,3,26,1,,2.0
114,Southern Basin,2018,0.08259681612287853,-0.16751931415986165,0.08204143655905105,-0.06747286204676557,3023,-33.30325602366254,141.99908952532817,,,,0.0,8,19,4,,1.71
17,Southern Basin,2018,0.5528368781278032,-0.5863773245354634,0.36986492217631595,-0.13069164347015672,3023,-36.50940885626763,147.069146542815,,,,1.7785570735964162,4,13,1,,3.19
23,"Coorong, Lower Lakes and Murray Mouth Ramsar site",2018,0.15423368293541515,-0.22633341058170603,0.12231712850255211,-0.07410657317485755,3023,-36.45909977101012,139.80078860312526,,,,0.0,4,23,35,,7.43
6,Wimmera Disconnected,2018,0.18986317090137325,-0.3523389919039898,0.12229478603094893,-0.1354581267818446,3023,-36.49763924998229,143.06477541915888,,,,0.4031444916015211,127,36,28,,59.99
169,Northern Basin,2018,0.19183167926085926,-0.32733389608482555,0.12629727635383153,-0.11966766594655161,3023,-30.480184655715306,148.14947113841924,,,,0.024840171289737978,216,29,28,,119.18
250,Northern Basin,2018,0.25725626367971893,-0.39510149790625065,0.14803249524656226,-0.1341583932718628,3023,-26.53955210676799,148.52796566562358,,,,0.27685697363622996,961,29,30,,301.33
219,Northern Basin,2018,0.17565933760815994,-0.3127171933763939,0.11384201786022097,-0.11736658098257237,3023,-28.538944676653117,148.84670984149105,,,,0.07783320374279186,37,31,20,,34.79
21,Southern Basin,2018,0.23015417898468254,-0.3725938328204578,0.14905248022380907,-0.13149462809840168,3023,-36.4294295499165,144.18884846816303,,,,0.22011320470908974,61,25,37,,36.29
164,Northern Basin,2018,0.25318406630519946,-0.39635702941811984,0.13984011819740672,-0.13654059112879213,3023,-30.50772286777716,150.0031058273611,,,,0.18486997057504206,142,23,33,,43.58
127,Lachlan Disconnected,2018,0.23115112246062064,-0.4216292517592636,0.1332254267212747,-0.16051710207130987,3023,-32.4639723490915,147.3709106332526,,,,0.07328045415817956,515,28,18,,216.96
243,Northern Basin,2018,0.17676648864663314,-0.41281545503195644,0.11079783654774207,-0.1769826775605206,3023,-28.406338003405992,146.69024787090729,,,,9.254517703271452E-4,55,25,14,,36.53
12,Wimmera Disconnected,2018,0.2461841312159209,-0.37358307592149587,0.15327140103596829,-0.12567619306652916,3023,-36.4203150616171,141.90758520525958,,,,1.0348897780963147,67,20,24,,38.86
247,Northern Basin,2018,0.21359530216492403,-0.3295140707493024,0.13472063658188785,-0.11227032158361182,3023,-28.390045434756978,148.31380102940943,,,,0.019113021623339454,19,20,27,,21.12
25,Southern Basin,2018,0.3937451473380013,-0.48721124736534455,0.26480498012311593,-0.13482868948400617,3023,-36.43833531681675,146.44396348626012,,,,1.116642383757333,7,25,27,,12.17
215,Northern Basin,2018,0.16985749252433682,-0.4785788399753183,0.09669993709600823,-0.21920430697545623,3023,-28.535008275789483,145.0776735169304,,,,4.7471345556814693E-4,102,25,17,,41.84
10,Southern Basin,2018,0.44857021645403594,-0.5344560321303179,0.26801789710275137,-0.14124553269657633,3023,-36.54331443642372,146.6094899348219,,,,0.7094708742951525,43,21,18,,56.37
231,Northern Basin,2018,0.23311546821032214,-0.37590944732772674,0.14507289273183352,-0.13229948111250717,3023,-28.47128248665361,148.83077921382423,,,,0.2986894798311825,13,19,25,,14.23
242,Northern Basin,2018,0.1902889005287545,-0.2979036902224609,0.1199442822408092,-0.10262665392197472,3023,-28.41961942240718,150.2157628475134,,,,0.02448679593837623,5,17,7,,10.28
165,Northern Basin,2018,0.402634619485483,-0.4822986012379593,0.22909587659001435,-0.12832531294858238,3023,-30.50541708578207,151.24388460919099,,,,0.1183004452218209,106,16,10,,65.05
226,Northern Basin,2018,0.15581708322593096,-0.4629687319460413,0.08448647497989216,-0.21545440587725237,3023,-28.53051769574989,145.4382457860743,,,,0.0028118348640811136,22,16,18,,20.73
24,Southern Basin,2018,0.3002750382350006,-0.42014898086246827,0.1673458235224251,-0.13197937322348072,3023,-36.404969209624504,149.13795565774876,,,,0.05578708771287865,23,14,12,,21.88
69,Lachlan Disconnected,2018,0.47073779291916357,-0.53424637088396,0.2963114092934497,-0.13225270536271055,3023,-34.46168657057093,149.29021031916128,,,,0.23639411570320515,160,12,12,,55.54
26,Wimmera Disconnected,2018,0.19446347410085082,-0.3424761546849458,0.12435332472542492,-0.12770030317062714,3023,-36.40354127564604,141.56530145153067,,,,0.3013384621401199,11,19,23,,15.49
186,Northern Basin,2018,0.25353118597582147,-0.39339406232045554,0.14618644079112375,-0.13462396300194474,3023,-30.40250567807555,149.5884093135249,,,,0.1614855587110129,63,11,26,,42.31
271,Northern Basin,2018,0.24478942058716405,-0.42242877916487775,0.14089275699845608,-0.15554149926406102,3023,-26.432820993142524,146.6717087204505,,,,0.06278961848983823,7,25,7,,12.03
234,Northern Basin,2018,0.19034839403456602,-0.397743414068213,0.11632304680930053,-0.1625066908271014,3023,-28.48999503376536,149.3437622236114,,,,0.0037577210362346094,6,17,8,,6.56
4,Southern Basin,2018,0.35414182083123846,-0.46111359872575153,0.2153038895643665,-0.1350114309029555,3023,-36.593810463962924,145.21505547523202,,,,1.7431294693922226,10,17,11,,10.73
