Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,prop_surveyed,Comments,survey_date,year,month,water_year
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-30 8:00,2015-01-30 8:00,2015-01-30 9:00,E3,59.0,Fulica atra,Black box woodland,1,False,0.32,,2015-01-30 08:00:00,2015,1,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-03-12 10:30,2015-03-12 10:30,2015-03-12 10:50,E3,211.0,Anas (nettion),Black box woodland,2,False,0.32,,2015-03-12 10:30:00,2015,3,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-20 14:50,2015-09-20 14:50,2015-09-20 15:15,E3,97.0,Phalacrocorax (phalacrocorax),Black box woodland,1,False,0.32,,2015-09-20 14:50:00,2015,9,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-20 14:50,2015-09-20 14:50,2015-09-20 15:15,E3,326.0,Todiramphus (todiramphus),Black box woodland,1,False,0.32,,2015-09-20 14:50:00,2015,9,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-20 14:50,2015-09-20 14:50,2015-09-20 15:15,E3,,NIL,Black box woodland,0,False,0.32,,2015-09-20 14:50:00,2015,9,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-21 6:38,2015-09-21 6:38,2015-09-21 7:10,E3,188.0,Egretta novaehollandiae,Black box woodland,3,False,0.32,,2015-09-21 06:38:00,2015,9,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-09-21 6:38,2015-09-21 6:38,2015-09-21 7:10,E3,228.0,Haliastur sphenurus,Black box woodland,1,False,0.32,,2015-09-21 06:38:00,2015,9,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-11-26 16:00,2015-11-26 16:00,2015-11-26 16:20,E3,,NIL,Black box woodland,0,False,0.32,,2015-11-26 16:00:00,2015,11,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-11-27 7:00,2015-11-27 7:00,2015-11-27 7:20,E3,,NIL,Black box woodland,0,False,0.32,,2015-11-27 07:00:00,2015,11,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,96.0,Phalacrocorax (phalacrocorax),Black box woodland,6,False,0.32,,2016-01-14 19:00:00,2016,1,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,106.0,Pelecanus conspicillatus,Black box woodland,7,False,0.32,,2016-01-14 19:00:00,2016,1,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,179.0,Threskiornis molucca,Black box woodland,8,False,0.32,,2016-01-14 19:00:00,2016,1,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,181.0,Platalea (platalea),Black box woodland,6,False,0.32,,2016-01-14 19:00:00,2016,1,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-15 9:30,2016-01-15 9:30,2016-01-15 9:50,E3,179.0,Threskiornis molucca,Black box woodland,11,False,0.32,,2016-01-15 09:30:00,2016,1,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-15 9:30,2016-01-15 9:30,2016-01-15 9:50,E3,208.0,Anas (anas),Black box woodland,50,False,0.32,,2016-01-15 09:30:00,2016,1,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-15 16:00,2016-03-15 16:00,2016-03-15 16:20,E3,188.0,Egretta novaehollandiae,Black box woodland,1,False,0.32,,2016-03-15 16:00:00,2016,3,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-16 7:10,2016-03-16 7:10,2016-03-16 7:30,E3,179.0,Threskiornis molucca,Black box woodland,2,False,0.32,,2016-03-16 07:10:00,2016,3,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-16 7:10,2016-03-16 7:10,2016-03-16 7:30,E3,182.0,Platalea (platibis),Black box woodland,2,False,0.32,,2016-03-16 07:10:00,2016,3,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-16 7:10,2016-03-16 7:10,2016-03-16 7:30,E3,188.0,Egretta novaehollandiae,Black box woodland,1,False,0.32,,2016-03-16 07:10:00,2016,3,2016
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,208.0,Anas (anas),Black box woodland,2,False,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1",2016-10-17 17:55:00,2016,10,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,211.0,Anas (nettion),Black box woodland,22,False,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1",2016-10-17 17:55:00,2016,10,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,215.0,Aythya (nyroca),Black box woodland,2,False,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1",2016-10-17 17:55:00,2016,10,2017
